SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
F3	 liver cirrhosis	 Compared with healthy subjects, serum non-VLDL-TG levels significantly increased in patients with stages F2 and F3 CH-C; however, we observed no significant difference in patients with liver cirrhosis.	F3  CH-C; however, we observed no significant difference in patients with  liver cirrhosis	 	no_rel
cancer	 estrogen	 The pineal gland hormone, melatonin, has been shown by numerous studies to inhibit the proliferation of estrogen receptor α (ERα)-positive breast cancer cell lines.	 estrogen receptor α (ERα)-positive breascancer	 	no_rel
inflammation	 sulindac	 At 40 weeks, rats treated with 1000 ppm sulindac showed narrower esophageal diameter and milder inflammation than the control rats.	 sulindac showed narrower esophageal diameter and milder inflammation	 may_treat	yes
AIDS	 HIV	 In addition, limited research has examined their role in providing emotional, material support and protection for HIV- and AIDS-affected children and families.	 HIV  and AIDS	 causative_agent_of	no
multiple myeloma	 Bortezomib	 Bortezomib has significant activity in treating multiple myeloma (MM).	 Bortezomib has significant activity in treating multiple myeloma	 may_treat	yes
influenza	 influenza virus	 To better understand the potential for the airborne spread of influenza, we measured the amount and size of aerosol particles containing influenza virus that were produced by coughing.	influenza , we measured the amount and size of aerosol particles containing  influenza virus	 causative_agent_of	no
stroke	 Warfarin	 Warfarin is a commonly prescribed oral anticoagulant in patients with prosthetic valve disease, venous thromboembolism and stroke.	 Warfarin is a commonly prescribed oral anticoagulant in patients with prosthetic valve disease, venous thromboembolism and stroke	 may_prevent	yes
AIDS	 HIV	 Infant feeding in communities with a high prevalence of HIV and AIDS is a potential challenge for mothers who must ultimately decide how to feed their infants within contexts that constrain their choices.	 HIV and AIDS	 causative_agent_of	no
vehicle	 tumor	 BMSCs were found to preferably reach sites undergoing the process of cell proliferation, such as wound and tumor, suggesting that BMSCs may be used as a vehicle for gene therapy of tumor.	 tumor  suggesting that BMSCs may be used as a vehicle	 	no_rel
influenza	 influenza viruses	 We developed a technique to measure ambient influenza and avian influenza viruses.	influenza  and avian  influenza viruses	 causative_agent_of	no
UTI	 Nitrofurantoin	 Nitrofurantoin could be used for simple cystitis; aminoglycosides for uncomplicated UTI in inpatients.	 Nitrofurantoin could be used for simple cystitis; aminoglycosides for uncomplicated UTI	 may_prevent	yes
hypoglycemia	 diazoxide	 Plasma glucose, insulin, C-peptide, and glucagon concentrations were measured every 30 min from −60 through 180 min with random-sequence, double-blind administration of diazoxide (6.0 mg/kg) or placebo at −30 and 1 min, ingestion of a formula mixed meal (Ensure Plus) at 0 min after diazoxide and after placebo and, on a separate occasion, ingestion of glimepiride (4.0 mg) at 0 min (with glucose infused to prevent hypoglycemia) after diazoxide and after placebo in 11 healthy young adults.	hypoglycemia emia) af diazoxide	 may_treat	yes
Parkinson's disease	 carbidopa	 Treatment options in advanced Parkinson's disease (PD) include subcutaneous apomorphine, pallidal or subthalamic nucleus Deep Brain Stimulation (DBS), or levodopa/carbidopa intestinal gel (LCIG/Duodopa).	Parkinson's disease  (PD) include subcutaneous apomorphine, pallidal or subthalamic nucleus Deep Brain Stimulation (DBS), or levodopa/ carbidopa	 may_treat	yes
